W_1,L_1,Pts_1,Opp_1,MOV_1,SOS_1,SRS_1,NRtg_1,W_2,L_2,Pts_2,Opp_2,MOV_2,SOS_2,SRS_2,NRtg_2,Score_dif
22,9,74.6,68.0,6.61,13.05,19.66,30.63,23,10,82.0,71.8,10.24,-1.01,6.87,12.08,29
29,7,83.5,71.6,11.92,7.53,19.45,29.14,18,15,77.5,68.9,8.58,13.81,22.39,33.91,4
29,7,83.5,71.6,11.92,7.53,19.45,29.14,28,7,80.0,63.7,16.34,17.28,33.62,48.14,9
27,9,78.2,69.3,8.83,10.1,18.94,29.47,27,7,72.4,60.1,12.21,-2.81,9.4,17.61,22
21,12,69.3,63.8,5.55,12.99,18.54,27.99,20,11,72.7,64.4,8.32,12.75,21.08,32.32,11
22,10,69.8,66.0,3.78,13.25,17.03,25.57,25,8,66.9,56.3,10.58,1.35,11.92,21.6,1
23,10,69.8,63.8,6.0,12.29,16.08,23.97,18,13,71.5,66.6,4.9,11.4,16.31,25.32,8
20,13,74.9,70.5,4.42,10.65,15.08,23.14,23,8,81.5,73.0,8.58,4.92,13.5,20.67,14
23,10,71.5,64.4,7.03,6.23,13.27,22.39,20,12,66.1,58.7,7.34,9.44,16.79,26.8,10
23,11,66.3,62.1,4.15,8.47,12.62,20.83,22,13,67.1,64.6,2.57,12.35,14.92,22.33,3
38,1,89.3,48.6,40.64,11.02,51.66,76.41,15,19,59.5,61.0,-1.47,-6.92,-8.39,-6.11,56
38,1,89.3,48.6,40.64,11.02,51.66,76.41,23,10,68.7,61.2,7.52,13.35,20.86,33.35,36
38,1,89.3,48.6,40.64,11.02,51.66,76.41,24,11,67.7,58.5,9.23,12.72,20.52,32.58,51
38,1,89.3,48.6,40.64,11.02,51.66,76.41,28,7,76.5,65.6,10.91,7.57,18.49,30.71,21
38,1,89.3,48.6,40.64,11.02,51.66,76.41,34,3,78.6,61.1,17.51,13.66,31.17,47.21,23
38,1,89.3,48.6,40.64,11.02,51.66,76.41,36,3,79.8,59.8,20.08,16.63,36.7,54.72,10
36,3,79.8,59.8,20.08,16.63,36.7,54.72,24,9,64.6,55.0,9.58,-1.16,5.19,11.82,34
36,3,79.8,59.8,20.08,16.63,36.7,54.72,27,8,86.0,70.2,15.8,5.45,21.25,32.22,12
36,3,79.8,59.8,20.08,16.63,36.7,54.72,26,10,69.3,60.5,8.75,13.13,21.88,34.67,21
36,3,79.8,59.8,20.08,16.63,36.7,54.72,33,4,79.5,59.0,20.49,10.97,31.46,47.58,9
36,3,79.8,59.8,20.08,16.63,36.7,54.72,34,3,75.9,51.5,24.35,12.51,34.24,47.52,1
34,3,75.9,51.5,24.35,12.51,34.24,47.52,21,11,35.0,,,-5.99,-6.47,,33
34,3,75.9,51.5,24.35,12.51,34.24,47.52,22,10,69.5,61.8,7.69,10.7,18.38,30.67,29
34,3,75.9,51.5,24.35,12.51,34.24,47.52,26,9,75.3,65.3,10.06,12.02,22.08,35.2,2
34,3,75.9,51.5,24.35,12.51,34.24,47.52,32,5,75.5,55.9,19.62,9.11,27.35,40.81,6
33,4,79.5,59.0,20.49,10.97,31.46,47.58,23,9,71.8,62.7,9.06,11.2,20.26,31.9,41
33,4,79.5,59.0,20.49,10.97,31.46,47.58,18,14,59.7,54.5,5.19,12.1,15.85,25.38,29
33,4,79.5,59.0,20.49,10.97,31.46,47.58,26,8,79.5,72.6,6.88,14.1,20.98,33.14,15
34,3,78.6,61.1,17.51,13.66,31.17,47.21,22,8,72.0,61.6,10.33,-6.33,-0.97,3.33,18
34,3,78.6,61.1,17.51,13.66,31.17,47.21,31,1,75.8,52.6,23.19,0.39,23.58,39.08,15
34,3,78.6,61.1,17.51,13.66,31.17,47.21,23,11,69.6,59.0,10.62,14.27,24.88,38.69,10
34,3,78.6,61.1,17.51,13.66,31.17,47.21,30,6,71.3,56.3,15.0,13.12,28.12,42.98,10
30,6,71.3,56.3,15.0,13.12,28.12,42.98,22,11,70.6,59.3,11.36,-2.47,4.82,10.08,11
30,6,71.3,56.3,15.0,13.12,28.12,42.98,20,12,66.0,59.8,6.22,10.15,16.37,28.25,10
30,6,71.3,56.3,15.0,13.12,28.12,42.98,26,8,71.7,58.1,13.62,3.4,12.96,19.34,4
32,5,75.5,55.9,19.62,9.11,27.35,40.81,17,15,61.3,54.1,7.19,-12.82,-14.96,-10.51,42
32,5,75.5,55.9,19.62,9.11,27.35,40.81,31,3,71.9,52.1,19.85,-0.5,16.86,30.19,18
32,5,75.5,55.9,19.62,9.11,27.35,40.81,29,6,67.7,55.9,11.86,10.97,22.83,36.39,1
27,7,73.1,58.4,14.68,11.03,25.71,39.98,27,8,71.3,59.7,11.66,10.27,21.93,35.29,8
23,11,69.6,59.0,10.62,14.27,24.88,38.69,24,9,68.9,55.2,13.67,-3.96,9.71,19.65,2
23,11,69.6,59.0,10.62,14.27,24.88,38.69,27,7,73.1,57.5,15.59,5.65,21.23,33.22,8
27,5,72.8,56.1,16.75,9.67,23.99,36.21,24,9,72.2,62.2,9.97,0.15,10.12,19.52,12
31,1,75.8,52.6,23.19,0.39,23.58,39.08,28,5,69.2,54.8,14.36,3.72,16.88,28.57,10
29,6,67.7,55.9,11.86,10.97,22.83,36.39,27,5,69.8,56.5,13.28,-1.88,11.4,20.48,19
26,9,75.3,65.3,10.06,12.02,22.08,35.2,26,7,67.2,57.8,9.36,-7.85,1.52,10.65,6
26,9,75.3,65.3,10.06,12.02,22.08,35.2,24,11,81.0,71.8,9.26,12.75,22.01,33.97,2
24,11,81.0,71.8,9.26,12.75,22.01,33.97,29,4,75.9,60.1,15.79,0.95,16.74,28.0,10
27,8,71.3,59.7,11.66,10.27,21.93,35.29,17,14,63.3,60.5,2.77,10.48,13.25,22.51,9
26,10,69.3,60.5,8.75,13.13,21.88,34.67,23,10,67.2,59.0,8.21,-0.2,8.01,14.3,13
26,10,69.3,60.5,8.75,13.13,21.88,34.67,21,12,74.7,68.5,6.21,13.43,19.65,31.65,10
27,8,86.0,70.2,15.8,5.45,21.25,32.22,23,10,76.2,71.9,4.24,10.21,14.45,23.71,7
27,7,73.1,57.5,15.59,5.65,21.23,33.22,22,11,64.0,56.6,7.36,7.26,13.38,22.39,10
26,8,79.5,72.6,6.88,14.1,20.98,33.14,24,9,63.5,57.8,5.7,-0.69,5.0,13.58,8
26,8,79.5,72.6,6.88,14.1,20.98,33.14,20,13,67.5,60.9,6.55,10.39,16.94,28.65,18
23,10,68.7,61.2,7.52,13.35,20.86,33.35,28,6,75.6,65.0,10.59,3.25,13.84,23.63,13
24,11,67.7,58.5,9.23,12.72,20.52,32.58,30,5,75.6,61.9,13.77,0.69,14.46,25.86,2
24,11,67.7,58.5,9.23,12.72,20.52,32.58,24,10,69.8,62.6,7.18,11.97,19.15,29.78,3
24,10,75.6,69.0,6.65,13.65,20.3,31.47,18,13,66.9,68.2,-1.32,-4.19,-5.51,-0.67,45
21,12,74.7,68.5,6.21,13.43,19.65,31.65,31,4,78.5,64.5,14.0,-2.46,11.54,20.58,27
24,10,69.8,62.6,7.18,11.97,19.15,29.78,29,5,64.4,51.8,12.68,-2.03,10.65,22.27,12
28,7,76.5,65.6,10.91,7.57,18.49,30.71,18,13,69.4,63.6,5.74,9.29,15.03,26.09,12
28,7,76.5,65.6,10.91,7.57,18.49,30.71,24,10,75.6,69.0,6.65,13.65,20.3,31.47,5
28,7,76.5,65.6,10.91,7.57,18.49,30.71,27,7,73.1,58.4,14.68,11.03,25.71,39.98,16
22,10,69.5,61.8,7.69,10.7,18.38,30.67,21,11,67.1,60.9,6.22,12.51,18.73,30.06,3
20,13,67.5,60.9,6.55,10.39,16.94,28.65,23,10,75.0,66.2,8.79,9.42,18.2,27.99,6
31,3,71.9,52.1,19.85,-0.5,16.86,30.19,20,12,64.3,56.6,7.78,9.86,16.93,29.74,8
20,12,66.0,59.8,6.22,10.15,16.37,28.25,29,4,62.6,50.5,12.18,-0.66,11.44,24.76,11
18,14,59.7,54.5,5.19,12.1,15.85,25.38,23,9,71.8,62.7,9.06,11.2,20.26,31.9,2
26,8,71.7,58.1,13.62,3.4,12.96,19.34,29,4,73.1,57.3,15.79,3.17,16.7,26.66,13
26,8,71.7,58.1,13.62,3.4,12.96,19.34,27,5,72.8,56.1,16.75,9.67,23.99,36.21,12
38,0,88.1,48.3,39.71,12.64,52.36,77.93,20,13,63.8,58.1,5.76,-7.94,-5.87,-1.85,52
38,0,88.1,48.3,39.71,12.64,52.36,77.93,28,6,71.8,60.6,11.21,3.82,12.97,22.25,46
38,0,88.1,48.3,39.71,12.64,52.36,77.93,28,8,69.2,55.2,13.97,8.98,22.26,34.32,60
38,0,88.1,48.3,39.71,12.64,52.36,77.93,31,5,71.1,56.4,14.69,12.48,27.18,42.83,21
38,0,88.1,48.3,39.71,12.64,52.36,77.93,32,5,66.9,51.9,14.95,14.88,29.83,45.87,29
38,0,88.1,48.3,39.71,12.64,52.36,77.93,30,8,72.5,60.1,12.37,12.7,25.07,39.41,31
36,2,77.7,52.3,25.32,11.11,36.11,51.2,24,10,74.7,61.6,13.09,-1.7,7.64,14.14,30
36,2,77.7,52.3,25.32,11.11,36.11,51.2,20,13,62.1,58.6,3.42,10.71,12.25,21.33,32
36,2,77.7,52.3,25.32,11.11,36.11,51.2,25,8,73.5,57.5,15.97,11.08,27.05,43.33,20
31,4,83.2,60.3,22.86,10.87,33.73,50.55,23,12,62.5,57.1,5.34,-2.53,2.81,9.05,16
33,2,80.0,61.3,18.77,14.22,32.99,50.08,19,12,62.9,53.0,9.97,-10.18,-7.38,-3.16,34
33,2,80.0,61.3,18.77,14.22,32.99,50.08,21,12,71.5,68.0,3.58,12.66,16.24,27.25,17
33,2,73.6,55.7,17.91,13.48,31.39,49.15,22,11,65.0,50.0,14.97,-4.99,3.53,11.28,36
33,2,73.6,55.7,17.91,13.48,31.39,49.15,19,13,64.4,61.4,3.03,11.8,14.83,25.66,26
32,5,66.9,51.9,14.95,14.88,29.83,45.87,20,13,80.2,72.0,8.18,-4.27,-2.69,3.07,42
32,5,66.9,51.9,14.95,14.88,29.83,45.87,24,8,62.8,55.9,6.91,3.77,10.68,20.39,29
32,5,66.9,51.9,14.95,14.88,29.83,45.87,27,9,80.9,65.5,15.44,10.57,26.01,39.87,12
32,5,66.9,51.9,14.95,14.88,29.83,45.87,36,2,77.7,52.3,25.32,11.11,36.11,51.2,3
27,8,68.8,56.0,12.83,14.71,27.54,42.21,21,12,71.6,59.1,12.55,3.45,5.3,6.84,27
27,8,68.8,56.0,12.83,14.71,27.54,42.21,27,7,70.1,59.9,10.24,3.43,13.67,24.48,1
27,8,68.8,56.0,12.83,14.71,27.54,42.21,33,2,80.0,61.3,18.77,14.22,32.99,50.08,6
31,5,71.1,56.4,14.69,12.48,27.18,42.83,19,12,62.9,56.3,6.61,-18.22,-15.82,-9.67,44
31,5,71.1,56.4,14.69,12.48,27.18,42.83,22,10,68.0,58.4,9.56,8.44,18.0,30.18,18
31,5,71.1,56.4,14.69,12.48,27.18,42.83,26,9,73.8,64.0,9.83,15.59,25.42,38.75,8
26,8,86.0,74.6,11.47,15.66,27.13,40.98,20,14,61.2,60.7,0.47,0.26,0.73,6.76,19
26,8,86.0,74.6,11.47,15.66,27.13,40.98,25,10,70.6,58.7,11.89,10.02,21.9,35.57,7
25,8,73.5,57.5,15.97,11.08,27.05,43.33,24,9,69.6,61.5,8.03,1.82,9.85,20.31,17
25,8,73.5,57.5,15.97,11.08,27.05,43.33,22,10,70.4,61.5,8.91,13.14,22.05,35.91,18
25,8,74.7,60.6,14.09,12.22,26.31,40.8,26,7,68.2,55.8,12.42,-11.07,-4.26,1.99,54
25,8,74.7,60.6,14.09,12.22,26.31,40.8,22,11,69.6,61.9,7.67,13.19,20.85,33.54,21
27,9,80.9,65.5,15.44,10.57,26.01,39.87,27,6,69.4,55.4,14.03,0.46,14.49,26.56,30
27,9,80.9,65.5,15.44,10.57,26.01,39.87,26,8,72.2,59.4,12.74,10.86,23.59,38.72,1
26,9,73.8,64.0,9.83,15.59,25.42,38.75,21,11,64.6,59.3,5.25,-0.06,5.19,11.19,16
26,9,73.8,64.0,9.83,15.59,25.42,38.75,24,10,72.7,62.0,10.68,12.47,23.14,36.4,5
30,8,72.5,60.1,12.37,12.7,25.07,39.41,29,3,70.3,49.3,20.97,-6.77,12.1,22.92,17
30,8,72.5,60.1,12.37,12.7,25.07,39.41,28,5,70.4,53.2,17.12,-3.37,13.72,24.98,17
30,8,72.5,60.1,12.37,12.7,25.07,39.41,33,2,73.6,55.7,17.91,13.48,31.39,49.15,8
30,8,72.5,60.1,12.37,12.7,25.07,39.41,22,14,65.6,59.0,6.58,15.37,21.96,35.44,22
30,8,72.5,60.1,12.37,12.7,25.07,39.41,26,11,71.4,63.2,8.19,14.63,22.82,33.53,21
25,9,75.9,64.4,11.47,13.31,24.78,38.27,24,9,74.7,60.8,13.82,-4.93,4.55,12.93,14
26,8,72.2,59.4,12.74,10.86,23.59,38.72,28,4,65.1,43.1,21.97,-12.47,-3.92,2.38,27
26,7,63.9,54.9,9.03,14.11,23.14,37.16,26,5,68.6,56.6,12.03,-4.56,3.33,9.49,22
24,10,72.7,62.0,10.68,12.47,23.14,36.4,31,2,68.0,48.5,19.42,-3.02,12.05,19.67,3
26,11,71.4,63.2,8.19,14.63,22.82,33.53,24,5,62.5,50.6,11.9,0.14,9.85,19.64,12
26,11,71.4,63.2,8.19,14.63,22.82,33.53,31,4,83.2,60.3,22.86,10.87,33.73,50.55,9
26,11,71.4,63.2,8.19,14.63,22.82,33.53,25,8,74.7,60.6,14.09,12.22,26.31,40.8,13
26,11,71.4,63.2,8.19,14.63,22.82,33.53,27,8,68.8,56.0,12.83,14.71,27.54,42.21,9
28,8,69.2,55.2,13.97,8.98,22.26,34.32,24,8,57.7,51.2,6.5,-0.2,4.95,14.3,10
28,8,69.2,55.2,13.97,8.98,22.26,34.32,25,9,75.9,64.4,11.47,13.31,24.78,38.27,2
22,10,70.4,61.5,8.91,13.14,22.05,35.91,24,10,70.3,61.0,9.26,2.39,9.27,17.38,9
22,14,65.6,59.0,6.58,15.37,21.96,35.44,28,5,66.2,52.2,14.0,2.47,16.47,29.78,6
22,14,65.6,59.0,6.58,15.37,21.96,35.44,26,7,63.9,54.9,9.03,14.11,23.14,37.16,11
22,14,65.6,59.0,6.58,15.37,21.96,35.44,26,8,86.0,74.6,11.47,15.66,27.13,40.98,16
25,10,70.6,58.7,11.89,10.02,21.9,35.57,23,6,75.6,58.3,17.31,0.07,17.38,29.7,9
22,11,69.6,61.9,7.67,13.19,20.85,33.54,20,12,67.3,61.5,5.81,12.59,18.4,30.17,16
21,12,71.5,68.0,3.58,12.66,16.24,27.25,21,10,63.9,54.1,9.81,9.62,19.43,32.83,4
19,13,64.4,61.4,3.03,11.8,14.83,25.66,26,7,71.2,62.0,9.21,3.69,12.9,22.59,5
28,5,70.4,53.2,17.12,-3.37,13.72,24.98,22,9,77.4,67.9,9.42,10.42,18.78,27.29,2
27,7,70.1,59.9,10.24,3.43,13.67,24.48,24,9,70.7,60.7,10.03,9.7,19.74,32.96,3
28,6,71.8,60.6,11.21,3.82,12.97,22.25,23,9,73.3,66.8,6.47,7.67,14.14,24.65,21
20,13,62.1,58.6,3.42,10.71,12.25,21.33,23,10,66.7,60.4,6.27,7.94,14.88,25.6,11
24,8,62.8,55.9,6.91,3.77,10.68,20.39,21,10,65.1,56.5,8.55,10.21,17.21,28.44,11
36,1,87.1,54.9,32.22,14.6,46.81,69.67,21,12,66.2,62.1,4.15,-3.67,-2.05,2.9,61
36,1,87.1,54.9,32.22,14.6,46.81,69.67,22,11,78.6,67.4,11.24,11.68,22.99,35.9,30
36,1,87.1,54.9,32.22,14.6,46.81,69.67,25,9,74.1,63.8,10.35,17.29,27.64,42.21,15
36,1,87.1,54.9,32.22,14.6,46.81,69.67,23,14,70.9,65.8,5.11,16.89,21.99,33.89,38
33,4,89.5,56.3,33.22,12.94,46.16,65.8,23,10,60.7,57.1,3.61,-13.98,-12.26,-7.5,89
33,4,89.5,56.3,33.22,12.94,46.16,65.8,20,14,68.7,65.1,3.65,14.32,17.97,28.42,40
33,4,89.5,56.3,33.22,12.94,46.16,65.8,29,8,74.6,61.0,13.59,13.72,27.32,42.97,34
33,4,76.3,56.1,20.27,16.6,36.06,54.68,19,15,63.9,59.9,4.03,-10.83,-10.1,-5.79,50
33,4,76.3,56.1,20.27,16.6,36.06,54.68,20,13,63.8,57.8,6.06,16.34,22.4,35.48,3
33,4,76.3,56.1,20.27,16.6,36.06,54.68,29,7,68.4,58.6,9.72,-1.37,8.35,16.22,42
33,4,76.3,56.1,20.27,16.6,36.06,54.68,28,7,79.0,58.3,20.71,12.63,33.34,50.62,7
33,4,76.3,56.1,20.27,16.6,36.06,54.68,32,6,71.7,56.5,15.24,16.38,31.61,48.09,9
33,4,76.3,56.1,20.27,16.6,36.06,54.68,34,5,75.9,57.6,18.31,15.69,34.0,51.79,12
29,6,85.0,63.0,22.03,13.32,34.32,48.48,25,7,72.3,62.0,10.22,-1.09,4.81,9.34,28
29,6,85.0,63.0,22.03,13.32,34.32,48.48,23,10,74.0,69.6,4.39,15.52,19.92,31.77,26
34,5,75.9,57.6,18.31,15.69,34.0,51.79,22,11,82.5,69.3,13.18,-4.26,2.41,8.25,41
34,5,75.9,57.6,18.31,15.69,34.0,51.79,27,8,80.7,67.7,12.94,8.73,21.67,34.27,21
34,5,75.9,57.6,18.31,15.69,34.0,51.79,29,6,85.0,63.0,22.03,13.32,34.32,48.48,11
34,5,75.9,57.6,18.31,15.69,34.0,51.79,33,4,89.5,56.3,33.22,12.94,46.16,65.8,9
34,5,75.9,57.6,18.31,15.69,34.0,51.79,36,1,87.1,54.9,32.22,14.6,46.81,69.67,2
33,4,80.1,62.3,17.81,15.82,33.63,51.26,22,11,62.8,55.4,7.42,-12.53,-8.65,-3.03,30
33,4,80.1,62.3,17.81,15.82,33.63,51.26,23,13,67.4,59.8,7.56,9.47,17.03,28.69,6
33,4,80.1,62.3,17.81,15.82,33.63,51.26,28,7,85.7,71.5,14.17,10.14,24.31,36.45,23
28,7,79.0,58.3,20.71,12.63,33.34,50.62,26,7,80.0,64.7,15.27,-1.07,7.74,13.85,21
28,7,79.0,58.3,20.71,12.63,33.34,50.62,22,11,66.3,62.6,3.76,12.65,16.4,28.29,22
28,7,79.0,58.3,20.71,12.63,33.34,50.62,31,5,65.6,54.4,11.25,14.58,25.83,40.41,13
32,3,89.3,64.5,24.83,8.25,33.08,48.43,27,6,67.4,59.0,8.36,-4.34,4.02,11.49,42
32,3,89.3,64.5,24.83,8.25,33.08,48.43,24,11,74.0,62.5,11.43,11.21,22.64,35.75,27
32,6,71.7,56.5,15.24,16.38,31.61,48.09,24,7,69.4,56.7,12.68,-3.28,4.1,9.6,8
32,6,71.7,56.5,15.24,16.38,31.61,48.09,23,11,67.5,62.4,5.03,16.88,21.91,35.38,21
32,6,71.7,56.5,15.24,16.38,31.61,48.09,25,9,74.0,62.1,11.88,17.35,29.23,44.87,11
32,6,71.7,56.5,15.24,16.38,31.61,48.09,33,4,80.1,62.3,17.81,15.82,33.63,51.26,1
28,6,73.7,55.4,18.26,11.56,29.83,45.86,20,13,60.5,57.2,3.24,-6.14,-5.96,-0.93,63
25,9,74.0,62.1,11.88,17.35,29.23,44.87,26,5,68.5,45.0,23.45,-9.35,1.51,7.41,28
25,9,74.0,62.1,11.88,17.35,29.23,44.87,23,9,71.2,59.2,12.0,9.13,21.13,35.51,4
25,9,74.1,63.8,10.35,17.29,27.64,42.21,25,8,68.7,59.8,8.82,3.17,7.39,13.11,27
25,9,74.1,63.8,10.35,17.29,27.64,42.21,22,12,68.7,63.1,5.62,13.17,18.79,31.7,32
29,8,74.6,61.0,13.59,13.72,27.32,42.97,21,11,63.3,58.5,4.84,0.86,5.7,15.37,20
29,8,74.6,61.0,13.59,13.72,27.32,42.97,20,12,73.3,65.9,7.44,15.21,22.65,36.38,11
31,5,65.6,54.4,11.25,14.58,25.83,40.41,23,11,66.1,61.6,4.53,1.22,3.58,8.75,1
31,5,65.6,54.4,11.25,14.58,25.83,40.41,24,8,65.8,57.8,8.03,7.13,15.16,26.91,12
28,7,85.7,71.5,14.17,10.14,24.31,36.45,27,7,75.1,61.9,13.15,0.7,13.84,26.73,7
28,7,85.7,71.5,14.17,10.14,24.31,36.45,22,11,70.9,63.5,7.36,15.55,22.92,37.58,14
22,11,78.6,67.4,11.24,11.68,22.99,35.9,18,13,73.8,67.2,6.65,13.43,18.43,29.08,20
22,11,70.9,63.5,7.36,15.55,22.92,37.58,27,6,77.6,63.7,13.91,-5.12,6.5,14.99,3
20,12,73.3,65.9,7.44,15.21,22.65,36.38,22,10,65.8,59.7,6.09,4.68,10.78,21.54,9
24,11,74.0,62.5,11.43,11.21,22.64,35.75,27,7,70.6,57.6,12.91,2.39,12.88,22.98,13
20,13,63.8,57.8,6.06,16.34,22.4,35.48,21,12,73.4,66.9,6.45,10.29,16.74,27.95,12
23,14,70.9,65.8,5.11,16.89,21.99,33.89,24,8,69.9,60.7,9.25,6.49,15.74,27.89,1
23,14,70.9,65.8,5.11,16.89,21.99,33.89,28,6,73.7,55.4,18.26,11.56,29.83,45.86,9
23,14,70.9,65.8,5.11,16.89,21.99,33.89,32,3,89.3,64.5,24.83,8.25,33.08,48.43,14
23,11,67.5,62.4,5.03,16.88,21.91,35.38,28,5,82.2,63.1,19.09,-0.76,15.24,24.71,13
27,8,80.7,67.7,12.94,8.73,21.67,34.27,24,9,66.9,56.5,10.36,-0.06,8.37,16.48,21
23,9,71.2,59.2,12.0,9.13,21.13,35.51,17,15,62.4,59.3,3.16,12.47,14.19,23.66,14
24,9,72.1,63.2,8.91,11.69,20.6,34.08,26,9,71.9,52.7,19.2,-6.8,7.14,14.51,2
23,10,74.0,69.6,4.39,15.52,19.92,31.77,26,7,72.0,54.9,17.06,2.91,16.58,25.26,13
22,12,68.7,63.1,5.62,13.17,18.79,31.7,22,8,61.3,50.6,10.63,-0.61,7.33,16.75,2
20,14,68.7,65.1,3.65,14.32,17.97,28.42,20,12,63.4,59.0,4.47,13.31,17.78,29.91,3
23,13,67.4,59.8,7.56,9.47,17.03,28.69,27,6,69.4,51.7,17.73,-0.54,17.19,31.42,12
22,11,66.3,62.6,3.76,12.65,16.4,28.29,24,9,70.7,61.8,8.97,6.96,15.93,27.37,2
24,8,65.8,57.8,8.03,7.13,15.16,26.91,25,9,70.5,60.6,9.91,1.98,9.19,16.47,27
29,7,68.4,58.6,9.72,-1.37,8.35,16.22,25,8,78.8,70.2,8.64,6.59,15.23,25.35,3
29,7,68.4,58.6,9.72,-1.37,8.35,16.22,24,9,72.1,63.2,8.91,11.69,20.6,34.08,7
36,1,89.4,53.4,36.05,13.62,49.67,69.85,24,10,80.0,71.1,8.88,-8.19,-2.16,1.38,88
36,1,89.4,53.4,36.05,13.62,49.67,69.85,28,6,71.8,58.9,12.88,-0.85,12.04,20.01,25
36,1,89.4,53.4,36.05,13.62,49.67,69.85,24,9,68.8,56.3,12.48,11.62,24.11,38.04,13
36,1,89.4,53.4,36.05,13.62,49.67,69.85,29,7,75.2,60.1,15.08,13.35,27.38,40.05,29
33,2,86.1,55.2,30.94,11.97,42.8,56.92,19,14,66.4,66.2,0.15,-10.45,-11.56,-9.38,50
33,2,86.1,55.2,30.94,11.97,42.8,56.92,23,10,74.9,62.5,12.42,9.35,21.77,33.63,22
37,2,81.1,56.4,24.74,13.12,37.86,56.32,19,14,65.2,56.4,8.79,-6.23,-7.13,-2.91,45
37,2,81.1,56.4,24.74,13.12,37.86,56.32,21,11,78.3,67.6,10.72,13.02,23.73,34.95,15
37,2,81.1,56.4,24.74,13.12,37.86,56.32,26,9,66.8,57.2,9.54,12.99,22.53,35.19,14
37,2,81.1,56.4,24.74,13.12,37.86,56.32,27,8,75.5,63.5,11.94,17.16,29.1,43.04,16
37,2,81.1,56.4,24.74,13.12,37.86,56.32,36,3,76.7,57.1,19.69,15.03,34.72,51.68,10
35,3,85.1,67.8,17.34,18.9,36.24,52.35,19,16,65.2,63.0,2.2,-1.61,-1.35,1.81,18
35,3,85.1,67.8,17.34,18.9,36.24,52.35,23,9,67.5,61.0,6.5,9.21,15.71,26.37,26
35,3,85.1,67.8,17.34,18.9,36.24,52.35,26,10,77.7,68.5,9.17,13.71,22.88,35.37,6
35,3,85.1,67.8,17.34,18.9,36.24,52.35,33,5,82.4,63.6,18.82,14.68,33.52,49.57,10
35,3,85.1,67.8,17.34,18.9,36.24,52.35,36,1,89.4,53.4,36.05,13.62,49.67,69.85,2
35,3,85.1,67.8,17.34,18.9,36.24,52.35,37,2,81.1,56.4,24.74,13.12,37.86,56.32,3
36,3,76.7,57.1,19.69,15.03,34.72,51.68,23,10,68.4,56.6,11.85,0.72,4.53,9.16,32
36,3,76.7,57.1,19.69,15.03,34.72,51.68,24,10,80.2,70.8,9.44,10.72,20.16,31.29,18
36,3,76.7,57.1,19.69,15.03,34.72,51.68,24,11,68.7,62.7,6.09,17.57,23.66,36.59,27
36,3,76.7,57.1,19.69,15.03,34.72,51.68,26,8,72.6,57.8,14.82,12.57,26.33,39.3,33
33,5,82.4,63.6,18.82,14.68,33.52,49.57,18,15,68.2,66.3,1.85,-3.87,-4.01,-2.35,43
33,5,82.4,63.6,18.82,14.68,33.52,49.57,24,9,84.9,72.6,12.3,9.21,18.95,27.72,28
33,5,82.4,63.6,18.82,14.68,33.52,49.57,30,5,82.3,69.5,12.89,5.57,15.98,23.78,14
28,7,80.7,63.1,17.63,14.84,32.86,43.14,23,10,65.5,53.9,11.58,-0.88,5.35,11.92,29
28,7,80.7,63.1,17.63,14.84,32.86,43.14,22,13,67.8,57.8,10.03,13.49,23.52,35.81,20
27,8,75.5,63.5,11.94,17.16,29.1,43.04,26,7,64.2,57.8,6.39,-3.41,2.98,8.25,11
27,8,75.5,63.5,11.94,17.16,29.1,43.04,19,13,69.7,67.4,2.25,12.36,14.61,23.9,22
27,8,75.5,63.5,11.94,17.16,29.1,43.04,28,7,80.7,63.1,17.63,14.84,32.86,43.14,9
28,7,85.0,71.1,13.89,13.6,27.49,39.81,19,14,59.7,58.5,1.21,4.39,5.6,12.44,42
29,7,75.2,60.1,15.08,13.35,27.38,40.05,23,9,66.5,54.4,12.16,-9.89,-4.52,-0.37,11
29,7,75.2,60.1,15.08,13.35,27.38,40.05,19,14,62.1,61.2,0.91,14.86,15.77,25.31,10
29,7,75.2,60.1,15.08,13.35,27.38,40.05,29,6,78.1,65.1,12.97,4.32,17.3,26.41,16
25,8,77.6,64.3,13.27,13.23,26.5,38.77,24,10,64.7,52.6,12.06,-8.21,0.71,4.67,40
26,8,72.6,57.8,14.82,12.57,26.33,39.3,24,9,75.3,61.5,13.79,0.48,11.95,20.91,24
26,8,72.6,57.8,14.82,12.57,26.33,39.3,25,8,77.6,64.3,13.27,13.23,26.5,38.77,7
26,8,72.6,57.8,14.82,12.57,26.33,39.3,33,2,86.1,55.2,30.94,11.97,42.8,56.92,5
26,8,79.6,64.1,15.5,10.09,25.59,38.2,24,6,67.6,55.1,12.53,1.82,14.35,25.03,20
24,9,68.8,56.3,12.48,11.62,24.11,38.04,31,4,77.6,58.6,19.03,-4.18,12.88,20.43,14
24,9,68.8,56.3,12.48,11.62,24.11,38.04,26,7,67.0,57.6,9.36,9.26,18.63,29.55,26
21,11,78.3,67.6,10.72,13.02,23.73,34.95,22,9,73.1,66.6,6.52,9.84,16.35,26.36,27
24,11,68.7,62.7,6.09,17.57,23.66,36.59,27,6,72.3,54.3,17.94,2.23,14.84,18.92,14
24,11,68.7,62.7,6.09,17.57,23.66,36.59,31,5,78.2,56.4,21.75,-3.98,11.96,19.75,20
